dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,predict
defect4j,chart,org/jfree/data/time/TimeSeries,3,1057,"        copy.data = new java.util.ArrayList();
",5,0,0,1,2,0,0,0,0,6,38,4,0.50000,1,0
defect4j,chart,org/jfree/data/time/Week,8,175,"        this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());
",3,0,0,2,4,0,2,0,0,5,69,4,0.50000,1,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1613,"        setRenderer(0, renderer, true);
",0,0,0,1,2,0,2,0,0,3,31,5,0.25000,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1614,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.25000,0,1
defect4j,chart,org/jfree/data/ComparableObjectItem,2,72,"    public ComparableObjectItem(Comparable x, Object y) {
",3,0,0,1,3,1,0,2,0,6,53,2,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,73,"        if (x == null) {
",1,1,0,1,3,0,0,0,0,2,16,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,76,"        this.x = x;
",2,0,0,0,0,0,0,0,0,3,11,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,77,"        this.obj = y;
",2,0,0,0,0,0,0,0,0,3,13,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,78,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0,1
defect4j,chart,org/jfree/data/ComparableObjectItem,2,95,"        return this.obj;
",1,0,0,0,0,0,0,0,0,1,16,5,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,98,"        super(key);
",1,0,0,1,2,0,0,0,0,1,11,4,1,0,1
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,67,"    private int maximumItemCount = Integer.MAX_VALUE;
",3,0,0,0,0,1,0,0,0,4,49,2,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,99,"        this.data = new java.util.ArrayList();
",4,0,0,1,2,0,0,0,0,5,38,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,100,"        this.autoSort = autoSort;
",2,0,0,0,0,0,0,0,0,3,25,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,101,"        this.allowDuplicateXValues = allowDuplicateXValues;
",2,0,0,0,0,0,0,0,0,3,51,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,102,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0,1
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,131,"        return this.data.size();
",1,0,0,1,2,0,1,0,0,2,24,5,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,216,"        if (item == null) {
",1,1,0,1,3,0,0,0,0,2,19,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,220,"        if (this.autoSort) {
",1,0,0,1,3,0,0,0,0,1,20,5,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,221,"            int index = Collections.binarySearch(this.data, item);
",2,0,0,1,2,0,3,0,0,5,54,7,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,222,"            if (index < 0) {
",1,1,0,1,3,0,0,0,0,2,16,6,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,223,"                this.data.add(-index - 1, item);
",2,1,0,1,2,0,2,0,0,6,32,9,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,244,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0,1
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,256,"        if (getItemCount() > this.maximumItemCount) {
",1,1,0,2,5,0,1,0,0,3,45,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,259,"        if (notify) {
",1,0,0,1,3,0,0,0,0,1,13,4,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,260,"            fireSeriesChanged();
",0,0,0,1,2,0,1,0,0,1,20,7,1,0,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,262,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0,1
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,333,"        return (ComparableObjectItem) this.data.get(index);
",1,0,0,2,4,0,2,1,0,4,51,5,1,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,97,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,98,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,99,"            return interval.getXLow();
",0,0,0,1,2,0,2,0,0,2,26,7,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,112,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,113,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,114,"            return interval.getXHigh();
",0,0,0,1,2,0,2,0,0,2,27,7,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,127,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,128,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0,0
