dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1613,"        setRenderer(0, renderer, true);",0,0,0,1,2,0,0,0,0,3,31,4,0.25,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1614,    },0,0,0,0,1,0,0,0,0,1,1,4,0.25,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1665,        CategoryItemRenderer existing,6,0,0,0,0,0,4,2,0,12,29,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1667,        if (existing != null) {,0,0,0,1,3,0,0,0,0,4,23,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1672,"        this.renderers.set(index, renderer);",2,0,0,1,2,0,6,0,0,8,36,5,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1673,        if (renderer != null) {,2,1,0,1,3,0,0,0,0,3,23,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1674,            renderer.setPlot(this);,0,0,0,1,2,0,4,0,0,4,23,7,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1675,            renderer.addChangeListener(this);,6,0,0,1,2,1,4,0,0,11,33,2,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1678,        configureDomainAxes();,0,0,0,1,2,0,0,0,0,3,22,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1679,        configureRangeAxes();,2,1,0,1,2,0,2,0,0,5,21,3,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1681,        if (notify) {,0,0,0,1,3,0,0,0,0,4,13,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1682,            fireChangeEvent();,0,0,0,1,2,0,2,0,0,2,18,7,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1684,    },2,0,0,0,1,0,4,0,0,6,1,7,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,567,"        this(null, null, null, null);",0,0,0,1,2,0,0,0,0,3,29,4,0.07692,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,568,    },0,0,0,0,1,0,0,0,0,1,1,4,0.07692,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1339,"        setDataset(0, dataset);",0,0,0,1,2,0,0,0,0,3,23,4,0.07143,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1340,    },0,0,0,0,1,0,0,0,0,1,1,4,0.07143,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1358,            dataset.addChangeListener(this);,4,0,0,1,2,0,8,0,0,12,32,3,0.04762,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1045,            Plot parent = getParent();,2,0,0,1,2,0,2,2,0,6,26,6,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1046,            if (parent instanceof CategoryPlot) {,0,0,0,1,3,0,0,0,0,4,37,4,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1352,        CategoryDataset existing = (CategoryDataset) this.datasets.get(index);,4,0,0,2,4,0,4,4,0,12,70,4,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1353,        if (existing != null) {,2,1,0,1,3,0,0,0,0,3,23,4,0.04545,0,0,-1
defect4j,chart,org/jfree/data/ComparableObjectItem,2,72,"    public ComparableObjectItem(Comparable x, Object y) {",6,0,0,1,3,1,0,4,0,11,53,2,1.33333,0,0,-1
defect4j,chart,org/jfree/data/ComparableObjectItem,2,73,        if (x == null) {,10,1,0,1,3,0,4,0,0,15,16,3,1.33333,0,0,-1
defect4j,chart,org/jfree/data/ComparableObjectItem,2,76,        this.x = x;,4,0,0,0,0,0,0,0,0,5,11,4,1.33333,0,0,-1
defect4j,chart,org/jfree/data/ComparableObjectItem,2,77,        this.obj = y;,0,0,0,0,0,0,0,0,0,0,13,4,1.33333,0,0,-1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1050,        if (start < 0) {,2,1,0,1,3,0,0,0,0,3,16,4,0.5,0,0,-1
